AUTHOR;COUNTRY;DESCRIPTION;KEYWORDUSED;LANGUAGE;LIKEDAT;LIKES;POSTEDAT;URL
Hever Translations (חבר תרגומים);;* Want to wish clients around the world a Happy New Year? * Partners, suppliers, and clients around the world leave for Christmas break soon – making it the perfect time to send your wishes for the new year. We're certain they'll be delighted you took part in their celebrations. After all, who does;#translationservices;English;2022-12-14T07:31:36.365587;2;2022-12-13T14:44:35.497373;https://www.linkedin.com/feed/update/urn:li:activity:7008431733230440448/?actorCompanyId=1176657
Slator;;Deluxe tucks in Post Haste Digital, picking up three #dubbing 🗣️ and mixing 🎞️ facilities in Los Angeles plus a roster of more than 100 voice talents 🎭 #MnA #media #localization #l10n #postproduction Chris Reynolds;#localization;English;2022-12-14T07:27:05.521698;2;2022-12-13T12:00:31.227803;https://www.linkedin.com/feed/update/urn:li:activity:7008400216789762048/?actorCompanyId=1176657
Adriano Raiano;;""The conquest of learning is achieved through the knowledge of languages."" Roger Bacon ➡️ localistars.com #localistars #translator #translation #l10n #t9n #xl8 #m17n #translationjob #freelancetranslator #translationagency #quoteoftheday #rogerbacon;#translationagency;English;2022-12-14T07:26:34.623895;2;2022-12-13T11:01:22.577259;https://www.linkedin.com/feed/update/urn:li:activity:7008385262032420864/?actorCompanyId=1176657
Signum University;;Planning for Fall 2023 already? We are! We have FIVE amazing courses lined up for next fall. Check them out on our website: https://lnkd.in/ec75p8Zd #SignumU #education #class #mastersdegree #graduatediploma #audit #humanities #languages #literature #onlinelearning #onlineclass;#languages;English;2022-12-14T07:17:42.104663;2;2022-12-12T20:01:14.052626;https://www.linkedin.com/feed/update/urn:li:activity:7008158726922608641/?actorCompanyId=1176657
Componize Software;;Check out this upcoming event Componize will be attending with our partner WhP. Fascinating engineering and easy implementation. In combination with an open architecture and open API DITA CCMS. #event #Video #localization;#localization;English;2022-12-14T07:15:38.032439;2;2022-12-12T18:02:30.704437;https://www.linkedin.com/feed/update/urn:li:activity:7008128719953240064/?actorCompanyId=1176657
FRANKONIA Antriebstechnik GmbH;;Management-Meeting der HAINZL-Gruppe Motion & Drives Erst kürzlich hatten wir Besuch von unseren Management-Kollegen aus Österreich (HAINZL) und Slowenien (TOK). Gemeinsam sprachen wir über die Zukunft von HAINZL – bei gutem Wetter und heißen Getränken. #antriebstechnik #hydraulik #frankonia #fran;Sprachen;German;2022-12-14T07:12:32.500492;2;2022-12-12T14:51:05.144072;https://www.linkedin.com/feed/update/urn:li:activity:7008080591216607233/?actorCompanyId=1176657
Translation Partner Co.;;You are leaving Money on the Table if You Do Not Translate your Company Website https://lnkd.in/dNge-mUH #TranslationPartner #translations #translating #translators #translator #translationservices #translationagencies #translationagency #localizations #localizationagencies;#translationservices;English;2022-12-13T23:55:54.104742;2;2022-12-13T14:44:39.443664;https://www.linkedin.com/feed/update/urn:li:activity:7008430466173169664/?actorCompanyId=1176657
Beth Carey;;Arrggghhhh 😶 - sorry for the re-schedule but the holiday season is upon us and instead of end of year, we need to delay to beginning of 2023! Thank you for supporting this event so far, and I hope we can see you and more in early 2023. If not at the livestream on 9th January, 1pm PST, it will be r;#linguistics;English;2022-12-13T23:40:04.260093;6;2022-12-13T21:58:48.078088;https://www.linkedin.com/feed/update/urn:li:activity:7008550590557413377/?actorCompanyId=1176657
Stela Foteva;;🗯️Do you ever wonder why some languages sound faster than others? Research says it depends on how much information is conveyed in a syllable and the number of syllables spoken per second in the language. Please read our blog post to explore more! https://lnkd.in/gsyU6m-p #Linguistics #LanguageDif;#linguistics;English;2022-12-13T23:39:43.473405;5;2022-12-12T22:32:43.428129;https://www.linkedin.com/feed/update/urn:li:activity:7008159204708409345/?actorCompanyId=1176657
Shari McGrath;;With nearly 22% of the US speaking a language other than English at home, #languagebarriers can create massive communication challenges for insurers. AF Group, Merchants and other carriers share how Hi Marley has alleviated this burden with real-time #translation. #customerexperience #techforhumant;#translation;English;2022-12-13T23:02:59.730016;8;2022-12-13T20:53:57.708345;https://www.linkedin.com/feed/update/urn:li:activity:7008526995386994688/?actorCompanyId=1176657
Lisa Hibbitt;;I had the pleasure of speaking at Google’s ‘International Growth Summit for Lead Generation’ in Warsaw, Poland last week 🇵🇱 I spoke about the importance of localising the online customer journey - for example, do you know why the game character Crash Bandicoot has an extra finger in Japan? Rathe;#translation;English;2022-12-13T22:55:53.325009;28;2022-12-13T21:27:23.144807;https://www.linkedin.com/feed/update/urn:li:activity:7008542621161721858/?actorCompanyId=1176657
Fulvio M. Garcia Romero;;Grab the popcorn. Here is a visual recap of Event Tech Live London 2022. Showcasing our simultaneous interpretation and live captioning solutions live in action at the largest event tech tradeshow of the year! #etllondon #eventech #eventmanagement #events #2022 #tradeshow #interprefy #businesstrend;#translation;English;2022-12-13T22:55:13.159804;31;2022-12-13T13:46:10.818405;https://www.linkedin.com/feed/update/urn:li:activity:7008417290475962368/?actorCompanyId=1176657
Elena K.;;Within the next six years, the quality of MT output may be roughly equivalent to that produced by high-performing human translators, according to new research by Translated. https://lnkd.in/gh6_b4Zq #MT #machinetranslation #translation #AI;#translation;English;2022-12-13T22:54:59.004179;10;2022-12-13T20:46:08.254876;https://www.linkedin.com/feed/update/urn:li:activity:7008522659927928832/?actorCompanyId=1176657
Sirko Ogriseck;;Einige interessante Einblicke in die Planung von Wasserstofftankstellen für Schienenfahrzeuge von meinem Kollegen Garrit Förster. #infraserv #ElementIhresErfolgs #IPH2 #wasserstoff #hydrogen #H2Zug;Sprachen;German;2022-12-13T22:50:56.547037;5;2022-12-13T20:40:30.169542;https://www.linkedin.com/feed/update/urn:li:activity:7008530917069660161/?actorCompanyId=1176657
Emelj Bajram;;Here's a handy list of the top 10 languages in high demand to consider to initiate #GlobalGrowth for business 🌍📈 Check the facts and figures on why they are the best bet for growth 👇 #Localization #GlobalMarketing https://hubs.ly/Q01vLt1-0;#localization;English;2022-12-13T22:19:30.721340;11;2022-12-13T17:07:54.227195;https://www.linkedin.com/feed/update/urn:li:activity:7008475552818872320/?actorCompanyId=1176657
Milica Mitrovic;;Untold stories are often the most moving or useful ones for societies. How many of them will perish with the lost of #indigenouslanguages and the wisdoms of their #peoples? Indigenous languages are about: #culture #heritage #diversity #humanrights #lands & #nature #ecosystem preservation #art #ide;#languages;English;2022-12-13T21:44:32.391531;2;2022-12-13T14:37:13.476379;https://www.linkedin.com/feed/update/urn:li:activity:7008439388325978112/?actorCompanyId=1176657
jo gough;;This will make our information and services much more accessible to those that need us. Really proud to see this launch. #help #accessibility #disability #neurodiversity #languages #sightloss #vawg #domesticviolence;#languages;English;2022-12-13T21:29:27.173713;2;2022-12-13T09:32:02.193307;https://www.linkedin.com/feed/update/urn:li:activity:7008362706269257728/?actorCompanyId=1176657
Kosar Boudaghi;;Hey LinkedIn! If you’re new to following me, I talk about #translationservices and #englishteaching. Let me know if you have any suggestions on what to share! ✒️;#translationservices;English;2022-12-13T21:14:45.995222;2;2022-12-11T20:11:41.942397;https://www.linkedin.com/feed/update/urn:li:activity:7007798840103739393/?actorCompanyId=1176657
Christian Manley 司马天;;Sometimes I wonder if my own background in writing essays for university/online magazines affects how I view game-writing from Chinese. Take the following: ""木头制造条件末达成“ Many would simply write ""The Wood production requirements have not been met."" To me, this is a little too literal/Chinglish of a;#translation;English;2022-12-13T21:07:39.801937;6;2022-12-13T19:26:50.834221;https://www.linkedin.com/feed/update/urn:li:activity:7008512354975973376/?actorCompanyId=1176657
Sara Issa;;Kalemat for Translation is pleased to take a part in the closing event for the training organized by NAHNOO and Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH and the The World Bank on the importance of Youth engagement in PFR. #translation #training #event #engagement #bank #int;#translation;English;2022-12-13T21:07:11.897245;2;2022-12-13T19:46:12.068672;https://www.linkedin.com/feed/update/urn:li:activity:7008517249057574912/?actorCompanyId=1176657
Laura Palucci Matheus;;I have 7 consecutive days in languages! Duolingo 💚🦉 #studies #languages #development #englishlanguage #frenchspeaking;#languages;English;2022-12-13T20:38:53.512953;2;2022-12-13T19:20:24.148834;https://www.linkedin.com/feed/update/urn:li:activity:7008510866677493760/?actorCompanyId=1176657
Tiisha Technologies;;If it's the Venice of Africa, then it's a must see!! Wanna know more? Kindly follow us on all our social media handles for more exciting content coming your way. You can also check out our website at www.tiisha.com to know more about us. Enjoy your Monday!☺️ #mondaypost #africa #languages #peop;#languages;English;2022-12-13T20:18:16.477170;2;2022-12-12T11:04:26.140094;https://www.linkedin.com/feed/update/urn:li:activity:7008023661760655360/?actorCompanyId=1176657
Eva Gross;;Thank you so much for having me on Global Ambitions, Antoine Rey and Stephanie Harris! It was really fun to talk about my professional journey. If you're a startup or mid-size business in need of localization consulting, please don't hesitate to reach out! #localization #consulting #womeninlocaliz;#translation;English;2022-12-13T19:25:58.354787;13;2022-12-13T17:59:04.957137;https://www.linkedin.com/feed/update/urn:li:activity:7008490185864732672/?actorCompanyId=1176657
Translation Partner Co.;;What Is The Difference Between Transcription And Translation In Language Services? https://lnkd.in/gPn6dD2a #TranslationPartner #translations #translating #translators #translator #translationservices #translationagencies #translationagency #localizations #localizationagencies;#translationagency;English;2022-12-13T19:22:55.680520;2;2022-12-12T14:53:55.125088;https://www.linkedin.com/feed/update/urn:li:activity:7008068097429385216/?actorCompanyId=1176657
Katja Jääskeläinen;;Warum einwandfrei übersetzte Anleitungen die Sicherheit von Maschinen gewährleisten: Technische Übersetzungsbüros übernehmen für Maschinenbauer die Übersetzung ihrer Dokumentation. Eine einwandfrei übersetzte technische Dokumentation erleichtert die Inbetriebnahme von Maschinen erheblich. Schließli;Übersetzungsbüro;German;2022-12-13T19:18:15.286749;2;2022-12-13T16:35:39.826951;https://www.linkedin.com/feed/update/urn:li:activity:7008469194975424512/?actorCompanyId=1176657
Michael Wiewior;;Translate your Website Got a new website? It's your sole trader on the Web: it needs to speak the language of your clients. If you want to reach foreign clients, translate website into other languages. We do it exceptionally well and fast. More info: https://lnkd.in/e_p25KW8 #websitetranslation #;#translationagency;English;2022-12-13T19:13:28.468240;2;2022-12-12T10:17:59.635258;https://www.linkedin.com/feed/update/urn:li:activity:7008000466349379584/?actorCompanyId=1176657
Gabriel Valdez;;""More than half of consumers are willing to pay more if you are willing to give them information in their own languages."" Have you ever tried translating your website or app into another language? It's not as easy as it sounds. At inWhatLanguage we make it easy to translate your brand into another;#translationagency;English;2022-12-13T19:09:20.955793;5;2022-12-13T16:58:12.293207;https://www.linkedin.com/feed/update/urn:li:activity:7008460729066397696/?actorCompanyId=1176657
Matthew Stokes;;Get #thatnewlookfeeling, now powered by Primer 🛍✨ We're thrilled to help New Look drive incredible commerce experiences, anywhere in the world 💫 With a single integration, New Look’s customers now have dozens of local payment methods to choose from—so they can pay, their way. No additional code n;#localization;English;2022-12-13T18:42:47.016486;28;2022-12-13T15:34:17.555323;https://www.linkedin.com/feed/update/urn:li:activity:7008443821164236800/?actorCompanyId=1176657
Ayush Gaurav;;Hi Folks!! Urgent requirement for Japanese Language Expert. candidates holding JLPT- N2 certification with minimum 1 year of experience in translation. Interested candidate can reach me on vishal.gaur@apcerls.com Any reference would be highly appreciated!! #translation #Translator #Japanese #Japa;#translator;English;2022-12-13T18:31:47.283584;3;2022-12-13T17:00:10.091331;https://www.linkedin.com/feed/update/urn:li:activity:7008475446828765184/?actorCompanyId=1176657
Joachim Lépine, M. Ed., C. Tr.;;So, exhausted fellow translator... how many weeks are you taking off for the holidays? Why? #translator #translation #traducteur #traduction #litranslators;#translator;English;2022-12-13T18:31:36.968516;8;2022-12-13T17:16:00.361839;https://www.linkedin.com/feed/update/urn:li:activity:7008479547927011328/?actorCompanyId=1176657
Cecilia Carbajal;;Switzerland is known as a polyglot country for being the crossroads of some of the great European cultures. This country has three official languages: German, French, and Italian. This European country is one of the great tourist attractions in the world, thanks to its beautiful landscapes and cult;#translationservices;English;2022-12-13T18:22:50.917336;11;2022-12-12T17:17:33.839712;https://www.linkedin.com/feed/update/urn:li:activity:7008064994705571840/?actorCompanyId=1176657
Milena Nena Federmann;;Vorteile eines Coaching Retreat! - Für ein paar Stunden ganz raus aus Deinem Leben. - Keine Termine vorher oder nacher. - Hier geht es nur um Dich. - Wir verlassen die Kopfebene und finden zurück zu Deiner inneren Weisheit. - Du findest Klarheit - Du lernst die 3 Sprachen Deines Körpers zu verstehe;Sprachen;German;2022-12-13T18:17:53.458149;2;2022-12-13T11:38:46.571476;https://www.linkedin.com/feed/update/urn:li:activity:7008394108004106242/?actorCompanyId=1176657
Leemeta Schlüsselfertige Übersetzungen®;;Wie kann man am einfachsten den gesamten Text (und die Bilder und SEO-Daten) von einer beliebigen Website herunterladen? Wir haben eine kurze Übersicht über ein Tool erstellt, das uns sehr hilft. 👇 https://lnkd.in/ep4kv89W;Übersetzungsbüro;German;2022-12-13T18:10:31.764461;2;2022-12-13T16:00:44.163231;https://www.linkedin.com/feed/update/urn:li:activity:7008460530570960897/?actorCompanyId=1176657
Jakub Dubec;;Thanks for sharing this, Autumn Kotsiuba.;#localization;English;2022-12-13T17:54:24.006148;2;2022-12-11T20:58:44.263031;https://www.linkedin.com/feed/update/urn:li:activity:7007810614861398016/?actorCompanyId=1176657
Christian Henrici;;Freue mich wahnsinnig den großen Prof. Günter Dhom heute wieder zu Gast zu haben. In der ersten Folge mit ihm in der ersten Legendenstaffel sprachen wir über ihn persönlich. Heute über die zahnmedizische Aus- und Fortbildung. 📚Günter hat sehr früh versucht durch Aufstiegsfortbildung für ZahnärztIn;Sprachen;German;2022-12-13T17:24:36.469908;2;2022-12-13T15:15:31.008133;https://www.linkedin.com/feed/update/urn:li:activity:7008437579054227456/?actorCompanyId=1176657
Dr. Afsheen Salahuddin;;Good afternoon everyone. Inviting you to another fantastic session with Dr. Stephen D. Krashen later, December 14, 2022, at 2AM (Philippine Time). Listen as he discusses the ""IMPACTS OF TECHNOLOGY ON LINGUISTICS."" The session will be LIVE STREAMED at MOOC LAGUNA CAMP 2 Page. https://lnkd.in/dyjb-Q;#linguistics;English;2022-12-13T17:17:09.211366;11;2022-12-13T14:08:36.789263;https://www.linkedin.com/feed/update/urn:li:activity:7008425054195625984/?actorCompanyId=1176657
Erraticus;;Happy to share that Erraticus decided to publish my poem. You can give it a read if you have the time and let me know what you make of it. #poem #poetry #english #language #linguistics #literature #runningoutofhashtags;#linguistics;English;2022-12-13T17:16:50.065669;3;2022-12-13T15:08:30.868553;https://www.linkedin.com/feed/update/urn:li:activity:7008442483860791296/?actorCompanyId=1176657
Sybille Kircher;;Was sind eigentlich die wichtigsten Weltsprachen und was bedeutet das für das Naming?;Sprachen;German;2022-12-13T17:06:01.033424;2;2022-12-13T12:38:41.377415;https://www.linkedin.com/feed/update/urn:li:activity:7008397631085281280/?actorCompanyId=1176657
Adrieli Martins;;Would you like to be a PM? We can train you to be a great one. Please send your CV to recruitment@collotbaca-subs.com Previous experience in the Audio Visual industry is required. #projectmanager #pm #recruitment #localization;#localization;English;2022-12-13T17:03:41.498764;2;2022-12-12T12:44:27.429949;https://www.linkedin.com/feed/update/urn:li:activity:7008048811629555712/?actorCompanyId=1176657
Ali ElSawy;;Merry Christmas! Mögen Ihre Weihnachten fröhlich und hell sein! 皆さん、メリークリスマス Here are just some of the ways to say Merry Christmas around the world 🌎🎄 If you're gearing up for the festive season and require local translation, request a free quote today! Visit our website here 👉🏼 https://bit.l;#translationservices;English;2022-12-13T16:53:06.726160;3;2022-12-13T13:44:33.082060;https://www.linkedin.com/feed/update/urn:li:activity:7008421048551366656/?actorCompanyId=1176657
Lamine Boukabour;;Waiting the answer;#translator;English;2022-12-13T16:13:19.961714;6;2022-12-13T14:06:39.750838;https://www.linkedin.com/feed/update/urn:li:activity:7008423607861186560/?actorCompanyId=1176657
Peter Bohlender;;Jochen Bard vom Fraunhofer IEE kam gerade aus Nordafrika zurück als diese Podcast-Folge mit ihm aufgezeichnet wurde. Gastgeber Robert Weber und mein Kollege Damir Alihodzic sprachen mit ihm über die Zukunft von grünem #Wasserstoff in Europa: Produzieren oder importieren wir? Ist die EU Trendsetter b;Sprachen;German;2022-12-13T15:56:42.985267;2;2022-12-13T13:15:51.601495;https://www.linkedin.com/feed/update/urn:li:activity:7008418975504048128/?actorCompanyId=1176657
t'works Group;;The latest incarnation of text-generating #AI, #ChatGPT, has been widely talked about in the media over the last couple of weeks. So, what exactly is all the fuss about? A good overview in the link from The Guardian https://hubs.ly/Q01vBJ4m0 #TechTuesday #translationservices #LSP;#translationservices;English;2022-12-13T15:41:16.761031;2;2022-12-13T10:07:08.430408;https://www.linkedin.com/feed/update/urn:li:activity:7008371467876761600/?actorCompanyId=1176657
Christian Faust;;DIE ÜBERSETZUNGSAGENTUR | Wie inhouse, nur besser 👍 hat einen neuen #Newsletter veröffentlicht, ganz passend zum Jahresabschluss mit einem #Ausblick in das nächste Jahr: 😀 Was erwartet uns 2023 in der Übersetzungsbranche? 😀 Welche Vorteile werden sich für die Kunden von Übersetzungsdienstleistun;Lokalisierung;German;2022-12-13T15:40:24.473123;2;2022-12-13T09:18:43.932084;https://www.linkedin.com/feed/update/urn:li:activity:7008350378299695104/?actorCompanyId=1176657
Florence Brokowski-Shekete;;📍INSTAGRAM LIVE TALK 📍 🔥SCHWARZWÄLDER & BUTTERKUCHEN🔥 MEIN GAST: BM' Stefanie Jansen, SOZIALBÜRGERMEISTERIN, HEIDELBERG, BADEN-WÜRTTEMBERG IHR ARBEITSCREDO: ""WENN WIR NIEMANDEN FINDEN, DER ZUSTÄNDIG IST, MACHEN WIR ES SELBER!"" Seit 24. Januar 2021 im Amt für die Bereiche SOZIALES, BILDUNG;Sprachen;German;2022-12-13T14:54:53.161958;2;2022-12-12T16:45:01.776216;https://www.linkedin.com/feed/update/urn:li:activity:7008106282016464897/?actorCompanyId=1176657
Stephan Frederik Jensen;;Wir freuen uns, unsere Lieblingsmomente der #GoogleCloudNext 2022 mit euch teilen zu dürfen! Der Startschuss unseres 24h-Livestreams fiel in New York mit weiteren Übertragungen aus Sunnyvale, Tokyo, Bengaluru (Indien) und zuletzt München. Alle 123 Neuankündigungen findet ihr hier:;Sprachen;German;2022-12-13T14:51:11.699774;7;2022-12-13T11:41:14.005214;https://www.linkedin.com/feed/update/urn:li:activity:7008388533933461504/?actorCompanyId=1176657
Achim Scholtes;;DWDS-Weihnachtsglossar, (eine schöne Bescherung)² (+ /- ) “Dabei entdeckt man Bekanntes und Vergessenes, Großmutters Lametta, den Engel aus dem Erzgebirge, die erst vor kurzem angeschaffte Weihnachtsgurke ... Ähnliche Eindrücke entstehen beim Blick ins deutsche Adventsvokabular. Dort findet man näm;Sprachen;German;2022-12-13T14:51:01.600163;2;2022-12-13T11:41:11.827399;https://www.linkedin.com/feed/update/urn:li:activity:7008389119844188160/?actorCompanyId=1176657
Salko Korac;;Unser neuer Securityblog - Wissenswertes für Profis Seit Kurzem ist unser neuer Blog online! ""Security Blog von Salko Korac"" - mit unglaublich spannenden und wissenswerten Berichten. Jede Woche erscheinen dort mehrere interessante und informative Artikel. Profitieren Sie aus unserer Erfahrung, die;Sprachen;German;2022-12-13T14:45:00.314451;3;2022-12-13T12:38:37.129654;https://www.linkedin.com/feed/update/urn:li:activity:7008401134482530304/?actorCompanyId=1176657
Boris Valdix;;Mit Druck kann der Schlauchliner-Hersteller Saertex multiCom umgehen – besonders grabenlos. Über Entwicklungen im Druckrohrbereich, über Nachhaltigkeit und technische Möglichkeiten beim Schlauchlining sowie über Unternehmensstrategien und -ziele sprachen wir mit Global Managing Director Kai Diecks u;Sprachen;German;2022-12-13T14:44:29.282117;7;2022-12-13T12:37:11.442437;https://www.linkedin.com/feed/update/urn:li:activity:7008405404313337856/?actorCompanyId=1176657
HK - Holz- und Kunststoffverarbeitung;;„Back in Black“ ist nicht nur das erfolgreichste Album der Hard-Rock-Band AC/DC, sondern auch ein #Möbel-Trend für 2023. Mehr über aktuelle Trends lesen Sie in der HK 6/22, die am Freitag erscheint. In der Ausgabe erwartet Sie unter anderem ein ausführliches Interview mit Thomas Wulkan, President un;Sprachen;German;2022-12-13T14:44:17.781899;4;2022-12-13T12:38:09.123773;https://www.linkedin.com/feed/update/urn:li:activity:7008409519416344576/?actorCompanyId=1176657
Paul Nitsche;;Mit bytepark GmbH haben wir ein einfaches, effizientes und datenschutzkonformes System für Landing Pages entwickelt, um Interessenten und Kunden zu gewinnen. Dafür haben wir uns eine Reihe von internen und externen Tools angeschaut und diese evaluiert. Wir haben dabei ein Basislösungspaket entwicke;Sprachen;German;2022-12-13T14:43:45.716761;3;2022-12-13T13:05:59.107046;https://www.linkedin.com/feed/update/urn:li:activity:7008416477120708608/?actorCompanyId=1176657
Rossella Chiarcos;;Just finished the course ""Basic Spanish 1: Getting Started"" by Universitat Politècnica de València! #languages;#languages;English;2022-12-13T14:37:19.112654;2;2022-12-13T12:08:31.512610;https://www.linkedin.com/feed/update/urn:li:activity:7008402070886080513/?actorCompanyId=1176657
Domniki Konstantinidou;;Translations requirements to adjust MDR and IVDR regulation?DLM International is ready to cover your multilingual translation & audiovisual projects. #medica #translation #pharma #CphI #Medlab;#translation;English;2022-12-13T14:36:49.326290;2;2022-12-13T11:35:56.986402;https://www.linkedin.com/feed/update/urn:li:activity:7008393863178391552/?actorCompanyId=1176657
drivesweb;;Fachpressetage Hamburg: Wie sieht für RK Rose+Krieger GmbH die Fabrik der Zukunft aus? Und warum ist die #Digitalisierung für den Komponentenlieferanten so wichtig? Wir sprachen mit Geschäftsführer Dr. Gregor Langer: https://lnkd.in/eJvgZuAB #FPTHH Köhler+Partner;Sprachen;German;2022-12-13T13:55:31.839439;2;2022-12-12T18:23:38.011217;https://www.linkedin.com/feed/update/urn:li:activity:7008127917243125761/?actorCompanyId=1176657
Oxford Lingua;;Content for academic purposes cannot be phoned in that’s why we only use real academics for any academic content writing commissions. https://lnkd.in/ebtCrVj2 #Oxford_Lingua #oxfordlingua #oxford #translation #translators #authors #languages #transcreation #contentwriting #transcription #subtitli;#languages;English;2022-12-13T13:50:27.157367;2;2022-12-12T17:59:01.300335;https://www.linkedin.com/feed/update/urn:li:activity:7008127854932602880/?actorCompanyId=1176657
Fred Forster;;Are there any mid-weight Python engineers out there looking for a new role? Will be £45-£67,500 and if you're passionate about connecting more people around the world through culture driven language learning then please get in touch. #python #pythonjobs #languages #languagelearning;#languages;English;2022-12-13T13:32:30.965543;2;2022-12-13T10:26:21.435408;https://www.linkedin.com/feed/update/urn:li:activity:7008369454178816000/?actorCompanyId=1176657
thisislanguage.com;;During the 13th day of our #adventvocab, why don’t you wish people ‘auguri’?✨ Italian for ‘best wishes’, you can use ‘auguri’ throughout the holiday season and beyond!💌 #wordoftheday #MFL #languages #languagelearning #Italian #translation #christmas;#languages;English;2022-12-13T13:32:11.386324;2;2022-12-13T10:26:13.256049;https://www.linkedin.com/feed/update/urn:li:activity:7008374119285014528/?actorCompanyId=1176657
CodeWomen;;This gift idea is not very techy but it has a lot of value! 💜 It's the book ""Amigo Mio"", a project by Open Cultural Center (OCC) that was created in the refugee camp of Cherso, in the north of Thessaloniki. It collects personal stories of #children living in the camps, who tried to express their fe;#languages;English;2022-12-13T13:29:53.930664;4;2022-12-13T11:18:58.915059;https://www.linkedin.com/feed/update/urn:li:activity:7008385913042911234/?actorCompanyId=1176657
Devnagri;;#Online #Educational #Contents To Be Available In #Regional #Languages ! #news #information #ministry #pib #language #devnagri;#languages;English;2022-12-13T13:29:23.986394;2;2022-12-13T11:51:36.880810;https://www.linkedin.com/feed/update/urn:li:activity:7008397945616121856/?actorCompanyId=1176657
Laurie Mascott;;Great blog by Justin Custer at ChatLingual on how technology is making it easy for employees to communicate in their native language #CX #technology #gamechanging #languages https://lnkd.in/eQ35iqxy;#languages;English;2022-12-13T13:28:12.182562;5;2022-12-13T11:53:34.012438;https://www.linkedin.com/feed/update/urn:li:activity:7008398252815360002/?actorCompanyId=1176657
